[init] addr=0x101000 log=/home/matsu/catalog/library/nginx/1.25/vmi_syscall_monitor/logs/p7_vs_strace.jsonl
[vm_state_change] running=1 state=9
[arm] attempt 1/100: re-arming (remove-then-insert) at 0x101000
[arm] readback=0xcc confirmed
[arm] attempt 2/100: re-arming (remove-then-insert) at 0x101000
[arm] readback=0xcc confirmed
[arm] attempt 3/100: re-arming (remove-then-insert) at 0x101000
[arm] readback=0xcc confirmed
[hit] cpu=0 rip=0x101000 rax=9
[hit] cpu=0 rip=0x101000 rax=9
[hit] cpu=0 rip=0x101000 rax=9
[hit] cpu=0 rip=0x101000 rax=9
[hit] cpu=0 rip=0x101000 rax=3
[hit] cpu=0 rip=0x101000 rax=257
[hit] cpu=0 rip=0x101000 rax=257
[hit] cpu=0 rip=0x101000 rax=257
[hit] cpu=0 rip=0x101000 rax=0
[hit] cpu=0 rip=0x101000 rax=262
[hit] cpu=0 rip=0x101000 rax=9
[hit] cpu=0 rip=0x101000 rax=9
[hit] cpu=0 rip=0x101000 rax=9
[hit] cpu=0 rip=0x101000 rax=9
[hit] cpu=0 rip=0x101000 rax=9
[hit] cpu=0 rip=0x101000 rax=3
[hit] cpu=0 rip=0x101000 rax=257
[hit] cpu=0 rip=0x101000 rax=257
[hit] cpu=0 rip=0x101000 rax=257
[hit] cpu=0 rip=0x101000 rax=0
[hit] cpu=0 rip=0x101000 rax=262
[hit] cpu=0 rip=0x101000 rax=9
[hit] cpu=0 rip=0x101000 rax=9
[hit] cpu=0 rip=0x101000 rax=9
[hit] cpu=0 rip=0x101000 rax=9
[hit] cpu=0 rip=0x101000 rax=3
[hit] cpu=0 rip=0x101000 rax=257
[hit] cpu=0 rip=0x101000 rax=257
[hit] cpu=0 rip=0x101000 rax=257
[hit] cpu=0 rip=0x101000 rax=0
[hit] cpu=0 rip=0x101000 rax=17
[hit] cpu=0 rip=0x101000 rax=262
[hit] cpu=0 rip=0x101000 rax=17
[hit] cpu=0 rip=0x101000 rax=9
[hit] cpu=0 rip=0x101000 rax=9
[hit] cpu=0 rip=0x101000 rax=9
[hit] cpu=0 rip=0x101000 rax=9
[hit] cpu=0 rip=0x101000 rax=9
[hit] cpu=0 rip=0x101000 rax=3
[hit] cpu=0 rip=0x101000 rax=9
[hit] cpu=0 rip=0x101000 rax=9
[hit] cpu=0 rip=0x101000 rax=158
[hit] cpu=0 rip=0x101000 rax=218
[hit] cpu=0 rip=0x101000 rax=273
[hit] cpu=0 rip=0x101000 rax=334
[hit] cpu=0 rip=0x101000 rax=10
[hit] cpu=0 rip=0x101000 rax=10
[hit] cpu=0 rip=0x101000 rax=10
[hit] cpu=0 rip=0x101000 rax=10
[hit] cpu=0 rip=0x101000 rax=10
[hit] cpu=0 rip=0x101000 rax=10
[hit] cpu=0 rip=0x101000 rax=10
[hit] cpu=0 rip=0x101000 rax=10
[hit] cpu=0 rip=0x101000 rax=302
[hit] cpu=0 rip=0x101000 rax=11
[hit] cpu=0 rip=0x101000 rax=96
[hit] cpu=0 rip=0x101000 rax=228
[hit] cpu=0 rip=0x101000 rax=318
[hit] cpu=0 rip=0x101000 rax=12
[hit] cpu=0 rip=0x101000 rax=12
[hit] cpu=0 rip=0x101000 rax=257
[hit] cpu=0 rip=0x101000 rax=39
[hit] cpu=0 rip=0x101000 rax=110
[hit] cpu=0 rip=0x101000 rax=257
[hit] cpu=0 rip=0x101000 rax=202
[hit] cpu=0 rip=0x101000 rax=202
[hit] cpu=0 rip=0x101000 rax=202
[hit] cpu=0 rip=0x101000 rax=202
[hit] cpu=0 rip=0x101000 rax=202
[hit] cpu=0 rip=0x101000 rax=202
[hit] cpu=0 rip=0x101000 rax=202
[hit] cpu=0 rip=0x101000 rax=202
[hit] cpu=0 rip=0x101000 rax=202
[hit] cpu=0 rip=0x101000 rax=202
[hit] cpu=0 rip=0x101000 rax=202
[hit] cpu=0 rip=0x101000 rax=257
[hit] cpu=0 rip=0x101000 rax=202
[hit] cpu=0 rip=0x101000 rax=202
[hit] cpu=0 rip=0x101000 rax=99
[hit] cpu=0 rip=0x101000 rax=202
[hit] cpu=0 rip=0x101000 rax=63
[hit] cpu=0 rip=0x101000 rax=257
[hit] cpu=0 rip=0x101000 rax=257
[hit] cpu=0 rip=0x101000 rax=204
[hit] cpu=0 rip=0x101000 rax=302
[hit] cpu=0 rip=0x101000 rax=201
[hit] cpu=0 rip=0x101000 rax=257
[hit] cpu=0 rip=0x101000 rax=96
[hit] cpu=0 rip=0x101000 rax=228
[hit] cpu=0 rip=0x101000 rax=63
[hit] cpu=0 rip=0x101000 rax=257
[hit] cpu=0 rip=0x101000 rax=262
[hit] cpu=0 rip=0x101000 rax=17
[hit] cpu=0 rip=0x101000 rax=107
[hit] cpu=0 rip=0x101000 rax=41
[hit] cpu=0 rip=0x101000 rax=42
[hit] cpu=0 rip=0x101000 rax=3
[hit] cpu=0 rip=0x101000 rax=41
[hit] cpu=0 rip=0x101000 rax=42
[hit] cpu=0 rip=0x101000 rax=3
[hit] cpu=0 rip=0x101000 rax=262
[hit] cpu=0 rip=0x101000 rax=262
[hit] cpu=0 rip=0x101000 rax=257
[hit] cpu=0 rip=0x101000 rax=257
[hit] cpu=0 rip=0x101000 rax=262
[hit] cpu=0 rip=0x101000 rax=8
[hit] cpu=0 rip=0x101000 rax=0
[hit] cpu=0 rip=0x101000 rax=3
[hit] cpu=0 rip=0x101000 rax=41
[hit] cpu=0 rip=0x101000 rax=42
[hit] cpu=0 rip=0x101000 rax=3
[hit] cpu=0 rip=0x101000 rax=41
[hit] cpu=0 rip=0x101000 rax=42
[hit] cpu=0 rip=0x101000 rax=3
[hit] cpu=0 rip=0x101000 rax=262
[hit] cpu=0 rip=0x101000 rax=257
[hit] cpu=0 rip=0x101000 rax=262
[hit] cpu=0 rip=0x101000 rax=8
[hit] cpu=0 rip=0x101000 rax=0
[hit] cpu=0 rip=0x101000 rax=3
[hit] cpu=0 rip=0x101000 rax=213
[hit] cpu=0 rip=0x101000 rax=3
[hit] cpu=0 rip=0x101000 rax=12
[hit] cpu=0 rip=0x101000 rax=257
[hit] cpu=0 rip=0x101000 rax=262
[hit] cpu=0 rip=0x101000 rax=17
[hit] cpu=0 rip=0x101000 rax=17
[hit] cpu=0 rip=0x101000 rax=3
[hit] cpu=0 rip=0x101000 rax=202
[hit] cpu=0 rip=0x101000 rax=39
[hit] cpu=0 rip=0x101000 rax=12
[hit] cpu=0 rip=0x101000 rax=12
[hit] cpu=0 rip=0x101000 rax=318
[hit] cpu=0 rip=0x101000 rax=201
[hit] cpu=0 rip=0x101000 rax=39
[hit] cpu=0 rip=0x101000 rax=39
[hit] cpu=0 rip=0x101000 rax=201
[hit] cpu=0 rip=0x101000 rax=201
[hit] cpu=0 rip=0x101000 rax=39
[hit] cpu=0 rip=0x101000 rax=201
[hit] cpu=0 rip=0x101000 rax=39
[hit] cpu=0 rip=0x101000 rax=201
[hit] cpu=0 rip=0x101000 rax=201
[hit] cpu=0 rip=0x101000 rax=12
[hit] cpu=0 rip=0x101000 rax=202
[hit] cpu=0 rip=0x101000 rax=3
[hit] cpu=0 rip=0x101000 rax=83
[hit] cpu=0 rip=0x101000 rax=262
[hit] cpu=0 rip=0x101000 rax=83
[hit] cpu=0 rip=0x101000 rax=262
[hit] cpu=0 rip=0x101000 rax=83
[hit] cpu=0 rip=0x101000 rax=262
[hit] cpu=0 rip=0x101000 rax=83
[hit] cpu=0 rip=0x101000 rax=262
[hit] cpu=0 rip=0x101000 rax=83
[hit] cpu=0 rip=0x101000 rax=262
[hit] cpu=0 rip=0x101000 rax=257
[hit] cpu=0 rip=0x101000 rax=72
[hit] cpu=0 rip=0x101000 rax=41
[hit] cpu=0 rip=0x101000 rax=54
[hit] cpu=0 rip=0x101000 rax=16
[hit] cpu=0 rip=0x101000 rax=49
[hit] cpu=0 rip=0x101000 rax=50
[hit] cpu=0 rip=0x101000 rax=50
[hit] cpu=0 rip=0x101000 rax=302
[hit] cpu=0 rip=0x101000 rax=13
[hit] cpu=0 rip=0x101000 rax=13
[hit] cpu=0 rip=0x101000 rax=13
[hit] cpu=0 rip=0x101000 rax=13
[hit] cpu=0 rip=0x101000 rax=13
[hit] cpu=0 rip=0x101000 rax=13
[hit] cpu=0 rip=0x101000 rax=13
[hit] cpu=0 rip=0x101000 rax=13
[hit] cpu=0 rip=0x101000 rax=13
[hit] cpu=0 rip=0x101000 rax=13
[hit] cpu=0 rip=0x101000 rax=13
[hit] cpu=0 rip=0x101000 rax=13
[hit] cpu=0 rip=0x101000 rax=257
[hit] cpu=0 rip=0x101000 rax=18
[hit] cpu=0 rip=0x101000 rax=3
[hit] cpu=0 rip=0x101000 rax=3
[hit] cpu=0 rip=0x101000 rax=213
[hit] cpu=0 rip=0x101000 rax=290
[hit] cpu=0 rip=0x101000 rax=233
[hit] cpu=0 rip=0x101000 rax=290
[hit] cpu=0 rip=0x101000 rax=16
[hit] cpu=0 rip=0x101000 rax=206
[hit] cpu=0 rip=0x101000 rax=186
[hit] cpu=0 rip=0x101000 rax=1
[hit] cpu=0 rip=0x101000 rax=3
[hit] cpu=0 rip=0x101000 rax=53
[hit] cpu=0 rip=0x101000 rax=233
[hit] cpu=0 rip=0x101000 rax=3
[hit] cpu=0 rip=0x101000 rax=232
[hit] cpu=0 rip=0x101000 rax=3
[hit] cpu=0 rip=0x101000 rax=233
[hit] cpu=0 rip=0x101000 rax=96
[hit] cpu=0 rip=0x101000 rax=232
[hit] cpu=0 rip=0x101000 rax=96
[hit] cpu=0 rip=0x101000 rax=228
[hit] cpu=0 rip=0x101000 rax=288
[hit] cpu=0 rip=0x101000 rax=233
[hit] cpu=0 rip=0x101000 rax=232
[hit] cpu=0 rip=0x101000 rax=96
[hit] cpu=0 rip=0x101000 rax=228
[hit] cpu=0 rip=0x101000 rax=45
[hit] cpu=0 rip=0x101000 rax=257
[hit] cpu=0 rip=0x101000 rax=262
[hit] cpu=0 rip=0x101000 rax=17
[hit] cpu=0 rip=0x101000 rax=20
[hit] cpu=0 rip=0x101000 rax=54
[hit] cpu=0 rip=0x101000 rax=232
[hit] cpu=0 rip=0x101000 rax=96
[hit] cpu=0 rip=0x101000 rax=228
[hit] cpu=0 rip=0x101000 rax=45
[hit] cpu=0 rip=0x101000 rax=3
[hit] cpu=0 rip=0x101000 rax=232
[hit] cpu=0 rip=0x101000 rax=96
[hit] cpu=0 rip=0x101000 rax=228
[hit] cpu=0 rip=0x101000 rax=288
[hit] cpu=0 rip=0x101000 rax=233
[hit] cpu=0 rip=0x101000 rax=232
[hit] cpu=0 rip=0x101000 rax=96
[hit] cpu=0 rip=0x101000 rax=228
[hit] cpu=0 rip=0x101000 rax=45
[hit] cpu=0 rip=0x101000 rax=17
[hit] cpu=0 rip=0x101000 rax=20
[hit] cpu=0 rip=0x101000 rax=54
[hit] cpu=0 rip=0x101000 rax=232
[hit] cpu=0 rip=0x101000 rax=96
[hit] cpu=0 rip=0x101000 rax=228
[hit] cpu=0 rip=0x101000 rax=45
[hit] cpu=0 rip=0x101000 rax=3
[hit] cpu=0 rip=0x101000 rax=232
[vm_state_change] running=0 state=11
